Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
89	200.85887	55.660503	262.47812	99.09483	525.55554	33.603874	24.192495	92.46481	-14.437941	450000	1.4686584e-08	373.50302	-0.007925074	-73.27008	0.75673157	0.006523723	0.104	79.0	433.1697120666504
90	165.38206	154.62822	275.95407	-244.8017	507.77777	31.043388	19.2393	77.24364	-12.120809	455000	2.002716e-09	1490.7578	-0.006204915	-833.5565	0.7733188	0.007105354	0.0862	79.0	437.1818709373474
91	152.8557	139.42137	269.92505	-172.18587	552.0	21.25345	27.918612	84.052345	-142.58327	460000	9.870529e-09	808.45734	-0.011088539	-290.13672	0.7711648	0.008749126	0.0928	79.0	441.33941292762756
92	230.10825	31.826166	259.5809	144.04286	431.9091	39.470123	23.237099	97.316	-33.22667	465000	2.0694733e-08	555.42474	-0.006902468	-235.43954	0.74737716	0.008352679	0.0756	79.0	445.0179662704468
93	209.86133	44.2789	255.5831	110.31059	540.25	33.160244	21.510157	90.79255	-32.65612	470000	6.1035155e-09	619.0149	-0.009409444	-271.42664	0.72765523	0.011117317	0.0782	79.0	449.1283857822418
94	188.8454	52.552536	250.1573	93.69235	576.625	30.738863	19.335184	79.292	-29.945406	475000	8.678437e-09	545.4288	-0.0069903876	-120.027374	0.71586555	0.0060858573	0.1208	79.0	453.184937953949
95	214.42398	64.17172	262.0931	51.92061	518.2222	29.851662	20.930443	98.63252	-39.383812	480000	2.1648408e-08	471.29333	-0.009020657	-284.21442	0.71430916	0.009869764	0.089	79.0	457.10934257507324
96	189.59203	76.30194	252.1453	18.054274	480.4	35.017372	23.212412	93.62551	-12.032322	485000	-3.8146974e-09	627.5939	-0.009767601	-311.90842	0.70574963	0.005313545	0.1098	79.0	461.14123010635376
97	150.85173	100.121475	270.5043	-9.316045	492.9	28.987581	20.094717	85.48365	-20.365643	490000	-1.5258789e-09	1121.4175	-0.010133195	-743.9994	0.6232964	0.018221982	0.1052	26.0	464.8545069694519
98	222.72829	52.677017	273.07623	68.365845	434.63635	27.175776	23.035604	82.649956	-45.197357	495000	1.9073486e-10	817.4415	-0.007513874	-640.05115	0.7582581	0.012367602	0.1456	79.0	469.2434115409851
99	214.77934	70.08964	286.16992	72.73692	497.0	47.566692	31.556166	116.81941	-21.130596	500000	1.27792354e-08	1017.4799	-0.012848957	-783.8475	0.7364308	0.016310742	0.0624	60.0	473.4626908302307
100	245.18993	40.270046	286.29044	124.72856	408.75	42.141994	22.588587	104.21	-4.99818	505000	-2.0122528e-08	256.7109	-0.008810772	-150.80945	0.70860815	0.007737344	0.06	79.0	477.3497874736786
101	223.16357	79.86477	280.03705	-2.9973793	433.0	44.340008	20.244219	103.01819	-6.0585804	510000	2.1123887e-08	735.5484	-0.008336013	-397.42444	0.7480521	0.003037611	0.0626	79.0	481.3799514770508
102	212.31598	44.9979	256.2129	107.437355	470.8889	40.36787	18.741852	107.79677	-13.419055	515000	-3.6525726e-08	856.6772	-0.008069161	-667.93976	0.7168729	0.0048902263	0.0502	79.0	485.5327136516571
103	225.66324	65.83191	262.5323	-4.6095443	340.7857	50.567314	20.916952	134.65475	3.1489549	520000	1.9073486e-10	400.4465	-0.008817754	-83.99655	0.74404436	0.0063273064	0.0748	79.0	489.0605778694153
104	227.553	59.93711	286.01678	45.823467	363.23077	50.790455	19.547579	105.36762	-15.529325	525000	-1.6498566e-08	365.69556	-0.009889731	-100.68512	0.7116639	0.00665113	0.0566	79.0	492.69364404678345
105	244.25946	34.249775	279.0382	150.32146	367.6154	49.721107	22.005018	107.37254	-22.61164	530000	4.9591065e-09	301.07455	-0.009019302	-84.26463	0.72076553	0.0068652253	0.0662	79.0	496.30042123794556
106	195.57361	83.99254	276.9651	4.972355	533.55554	44.634483	20.636332	122.16924	-0.67368937	535000	2.4414062e-08	875.6938	-0.009004335	-561.8005	0.70290184	0.0052497964	0.0754	79.0	500.2477569580078
107	249.84236	14.407331	268.65408	224.01347	345.16666	44.12996	19.620575	91.76628	-17.476212	540000	-2.2411346e-09	486.2955	-0.008741962	-338.20984	0.70768374	0.014466965	0.1152	79.0	503.9688069820404
108	185.9776	87.42609	263.79138	44.29335	429.72726	38.986645	29.357677	102.53974	-7.049922	545000	8.5830685e-09	648.995	-0.008884888	-385.25717	0.73606884	0.008180126	0.1054	79.0	507.7903575897217
109	221.2022	43.03121	272.1768	114.37153	493.7	51.491817	14.032262	98.74938	1.8164996	550000	1.6021728e-08	1442.3466	-0.008415716	-1074.1431	0.67442054	0.001572472	0.0452	79.0	512.1248650550842
110	207.8321	61.099987	264.1486	78.76884	497.5	44.43433	19.132616	108.82476	-2.2563493	555000	4.386902e-09	930.6638	-0.0066837054	-452.57993	0.6504678	0.0040107337	0.041	79.0	516.0467917919159
111	229.97949	47.477974	273.89136	100.16232	396.16666	41.283344	22.925116	107.965126	-10.86469	560000	-1.1253357e-08	428.4494	-0.0064846314	-201.74333	0.6962704	0.009895518	0.0582	79.0	519.8296568393707
112	217.86053	59.963943	264.626	48.118473	430.0	55.047745	17.465305	113.706825	14.441483	565000	1.7166137e-08	729.47656	-0.008463979	-485.8144	0.7171885	0.013487448	0.1166	79.0	523.5984344482422
113	217.8603	38.109493	262.8542	164.855	479.6	36.75242	24.740719	114.130615	-17.945126	570000	-1.0299683e-08	365.55045	-0.008555916	-101.34573	0.7083067	0.006892449	0.0964	79.0	527.3713183403015
114	235.09126	45.692528	279.8169	132.44565	424.54544	45.583405	18.731056	100.450836	5.200531	575000	-2.450943e-08	543.2944	-0.0077922447	-293.33362	0.7325684	0.0054379134	0.0858	79.0	530.8104779720306
115	223.28735	78.505745	288.7777	-0.9901924	387.91666	42.97108	24.480322	100.4276	-10.955486	580000	-6.2942505e-09	495.15524	-0.009970561	-103.09082	0.7201633	0.0060971864	0.0682	79.0	534.2445549964905
116	212.8479	51.74891	285.56967	108.56621	469.8	35.3578	24.941212	104.22702	-7.474818	585000	6.866455e-09	355.84604	-0.011459447	-189.44397	0.7197482	0.007358626	0.096	79.0	538.0670917034149
117	225.53589	37.72512	282.32916	129.40141	373.53845	56.258938	16.9607	121.23077	13.478264	590000	-8.010864e-09	700.5939	-0.0074469945	-409.81	0.67593044	0.0034521148	0.0538	79.0	541.6656966209412
118	230.5191	30.972052	290.232	185.2001	373.76923	45.182922	20.385193	104.620255	-9.438678	595000	8.5830685e-09	317.71814	-0.009929481	-113.932495	0.68556124	0.01141902	0.1014	79.0	545.1630432605743
119	223.28613	44.460228	291.83432	140.87674	395.25	53.10485	20.198963	116.56239	-12.049716	600000	1.1444092e-09	576.0607	-0.009296726	-424.14368	0.6997572	0.008616581	0.114	79.0	548.6659986972809
120	234.05031	43.12933	269.6202	103.439995	388.72726	60.0813	19.38929	112.67514	22.460001	605000	-7.534027e-09	1286.327	-0.004755968	-1102.1101	0.64624286	0.021713099	0.1118	12.0	552.2356836795807
121	224.88858	54.1957	276.89594	48.97771	361.6154	53.588676	17.100885	108.435	1.8794571	610000	-8.354187e-08	747.086	-0.0074413833	-625.63385	0.72640336	0.004177993	0.0744	79.0	555.7002384662628
